Sep=;
Page;VisualID;HtmlTagName;HtmlCpOp;ModelTagName;ParameterName;ModelTagName_1;ParameterName_1;ModelTagName_2;ParameterName_2;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_ActColr;HSZ2001;;;;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_ActColr;XPZ_2106;;;;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_ActColr;XXZ2_2106;;;;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_ActColr;XXZ3_2106;;;;;;;;;;;
CDU4_DESALTERS;Foxboro_ActColr;HSZ10117SET;;;;;;;;;;;
CDU4_DESALTERS;Foxboro_ActColr;HSZ10118SET;;;;;;;;;;;
CDU4_DESALTERS;Foxboro_ActColr;HSZ10119SET;;;;;;;;;;;
CDU4_DESALTERS;Foxboro_ActColr;HSZ1044SET;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;XYZ5004_AST;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;XAZ2;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;XAZ3;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;XS6049;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;HSZ10154;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;XS6077_START;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;XS6077_STOP;;;;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_ActColr;LIZ5055_L;;;;;;;;;;;
CDU4_FURNACE_AIR_PREHEATER;Foxboro_ActColr;XSCZ10133;;;;;;;;;;;
CDU4_FURNACE_AIR_PREHEATER;Foxboro_ActColr;XSCZ10134;;;;;;;;;;;
CDU4_FURNACE_FIRING;Foxboro_ActColr;HSZ1025;;;;;;;;;;;
CDU4_FURNACE_FIRING;Foxboro_ActColr;HSZ1033;;;;;;;;;;;
CDU4_FURNACE_FIRING;Foxboro_ActColr;HSZ1035;;;;;;;;;;;
CDU4_FURNACE_FIRING;Foxboro_ActColr;HSZ5053;;;;;;;;;;;
